rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,confidence_normalized,csv_t30_change,t30_actual,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,tag_financials,tag_past,tag_peers,main_summary,notes_financials,notes_past,notes_peers,raw_output,error
1,GL,2020,2,2020-07-23,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,142.0,,,,,N/A,N/A,N/A,,,,,,
2,BEN,2025,1,2025-01-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,132.4,,,,,N/A,N/A,N/A,,,,,,
3,OXY,2024,2,2024-08-09,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
4,EPAM,2025,1,2025-05-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.0,,,,,N/A,N/A,N/A,,,,,,
5,MLM,2024,2,2024-08-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1313.8,,,,,N/A,N/A,N/A,,,,,,
6,NKE,2025,1,2024-10-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,109.8,,,,,N/A,N/A,N/A,,,,,,
7,F,2023,2,2023-07-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
8,NTRS,2021,1,2021-04-20,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,709.5,,,,,N/A,N/A,N/A,,,,,,
9,ADI,2024,2,2024-05-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,120.1,,,,,N/A,N/A,N/A,,,,,,
10,ETN,2024,2,2024-08-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,109.2,,,,,N/A,N/A,N/A,,,,,,
11,SBUX,2025,2,2025-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,111.2,,,,,N/A,N/A,N/A,,,,,,
12,EME,2021,4,2022-02-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.1,,,,,N/A,N/A,N/A,,,,,,
13,AMD,2022,4,2023-02-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.4,,,,,N/A,N/A,N/A,,,,,,
14,AFL,2024,1,2024-05-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,108.6,,,,,N/A,N/A,N/A,,,,,,
15,FRT,2020,1,2020-05-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.6,,,,,N/A,N/A,N/A,,,,,,
16,XOM,2024,1,2024-04-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,132.9,,,,,N/A,N/A,N/A,,,,,,
17,NXPI,2020,2,2020-07-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.0,,,,,N/A,N/A,N/A,,,,,,
18,ERIE,2020,1,2020-05-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,195.1,,,,,N/A,N/A,N/A,,,,,,
19,AVB,2025,1,2025-05-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,105.8,,,,,N/A,N/A,N/A,,,,,,
20,CMCSA,2024,1,2024-04-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,697.2,,,,,N/A,N/A,N/A,,,,,,
21,GNRC,2023,1,2023-05-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
22,NXPI,2024,1,2024-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.9,,,,,N/A,N/A,N/A,,,,,,
23,BX,2022,1,2022-04-21,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,101.7,,,,,N/A,N/A,N/A,,,,,,
24,HAS,2023,1,2023-04-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
25,HBAN,2024,2,2024-07-19,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,113.3,,,,,N/A,N/A,N/A,,,,,,
26,OXY,2023,2,2023-08-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
27,ELV,2021,3,2021-10-20,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,110.1,,,,,N/A,N/A,N/A,,,,,,
28,IT,2023,2,2023-08-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
29,EG,2025,2,2025-07-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,104.0,,,,,N/A,N/A,N/A,,,,,,
30,LRCX,2023,1,2022-10-20,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
31,MDLZ,2022,3,2022-11-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,104.5,,,,,N/A,N/A,N/A,,,,,,
32,UAL,2021,4,2022-01-20,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,126.4,,,,,N/A,N/A,N/A,,,,,,
33,CMCSA,2022,4,2023-01-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,103.7,,,,,N/A,N/A,N/A,,,,,,
34,EVRG,2022,3,2022-11-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,96.0,,,,,N/A,N/A,N/A,,,,,,
35,WSM,2022,1,2022-05-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,184.4,,,,,N/A,N/A,N/A,,,,,,
36,PEG,2021,1,2021-05-06,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,114.0,,,,,N/A,N/A,N/A,,,,,,
37,ZTS,2022,2,2022-08-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,101.1,,,,,N/A,N/A,N/A,,,,,,
38,AEE,2020,2,2020-08-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,94.6,,,,,N/A,N/A,N/A,,,,,,
39,DHR,2024,3,2024-10-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,120.6,,,,,N/A,N/A,N/A,,,,,,
40,CFG,2023,4,2024-01-17,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,149.1,,,,,N/A,N/A,N/A,,,,,,
41,CME,2022,2,2022-07-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,110.5,,,,,N/A,N/A,N/A,,,,,,
42,BA,2022,1,2022-04-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,83.9,,,,,N/A,N/A,N/A,,,,,,
43,PYPL,2020,2,2020-07-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,89.4,,,,,N/A,N/A,N/A,,,,,,
44,SPG,2022,4,2023-02-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.3,,,,,N/A,N/A,N/A,,,,,,
45,CSX,2022,2,2022-07-21,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.7,,,,,N/A,N/A,N/A,,,,,,
46,DOC,2020,1,2020-05-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,98.4,,,,,N/A,N/A,N/A,,,,,,
47,HOOD,2023,2,2023-08-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
48,MDLZ,2021,1,2021-04-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,120.7,,,,,N/A,N/A,N/A,,,,,,
49,AMP,2023,3,2023-10-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
50,DHR,2022,4,2023-01-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.4,,,,,N/A,N/A,N/A,,,,,,
51,APH,2021,4,2022-01-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,111.6,,,,,N/A,N/A,N/A,,,,,,
52,GOOGL,2022,2,2022-07-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.4,,,,,N/A,N/A,N/A,,,,,,
53,JNJ,2023,1,2023-04-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
54,BX,2025,1,2025-04-17,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,105.3,,,,,N/A,N/A,N/A,,,,,,
55,EG,2024,1,2024-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,139.1,,,,,N/A,N/A,N/A,,,,,,
56,LYB,2024,4,2025-01-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,125.9,,,,,N/A,N/A,N/A,,,,,,
57,INVH,2021,4,2022-02-16,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.2,,,,,N/A,N/A,N/A,,,,,,
58,ROST,2021,3,2021-11-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,97.0,,,,,N/A,N/A,N/A,,,,,,
59,SJM,2020,1,2019-08-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.1,,,,,N/A,N/A,N/A,,,,,,
60,MDLZ,2025,2,2025-07-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,89.1,,,,,N/A,N/A,N/A,,,,,,
61,XOM,2022,1,2022-04-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,88.6,,,,,N/A,N/A,N/A,,,,,,
62,IP,2024,1,2024-04-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.3,,,,,N/A,N/A,N/A,,,,,,
63,MCO,2024,3,2024-10-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,139.4,,,,,N/A,N/A,N/A,,,,,,
64,CMCSA,2021,1,2021-04-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,113.8,,,,,N/A,N/A,N/A,,,,,,
65,PFE,2022,1,2022-05-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,104.4,,,,,N/A,N/A,N/A,,,,,,
66,BA,2021,2,2021-07-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,129.1,,,,,N/A,N/A,N/A,,,,,,
67,CTRA,2023,1,2023-05-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.9,,,,,N/A,N/A,N/A,,,,,,
68,AXP,2021,1,2021-04-23,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.1,,,,,N/A,N/A,N/A,,,,,,
69,ZTS,2023,2,2023-08-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.3,,,,,N/A,N/A,N/A,,,,,,
70,GDDY,2023,4,2024-02-14,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,127.7,,,,,N/A,N/A,N/A,,,,,,
71,KR,2022,3,2021-12-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.0,,,,,N/A,N/A,N/A,,,,,,
72,LHX,2020,1,2020-05-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,131.6,,,,,N/A,N/A,N/A,,,,,,
73,GPN,2023,1,2023-05-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1.2,,,,,N/A,N/A,N/A,,,,,,
74,MRNA,2024,3,2024-11-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1.2,,,,,N/A,N/A,N/A,,,,,,
75,TYL,2023,2,2023-07-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1.2,,,,,N/A,N/A,N/A,,,,,,
76,SBUX,2021,3,2021-07-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,119.4,,,,,N/A,N/A,N/A,,,,,,
77,MMC,2024,4,2025-01-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.4,,,,,N/A,N/A,N/A,,,,,,
78,ETN,2021,4,2022-02-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,124.7,,,,,N/A,N/A,N/A,,,,,,
79,MAA,2021,3,2021-10-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,170.9,,,,,N/A,N/A,N/A,,,,,,
80,AKAM,2024,2,2024-08-09,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.1,,,,,N/A,N/A,N/A,,,,,,
81,HPQ,2025,1,2025-02-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1.1,,,,,N/A,N/A,N/A,,,,,,
82,ULTA,2021,3,2021-12-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,114.8,,,,,N/A,N/A,N/A,,,,,,
83,MTB,2023,4,2024-01-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,117.6,,,,,N/A,N/A,N/A,,,,,,
84,NUE,2022,2,2022-07-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,142.8,,,,,N/A,N/A,N/A,,,,,,
85,ODFL,2021,1,2021-04-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.0,,,,,N/A,N/A,N/A,,,,,,
86,CPT,2023,1,2023-04-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1.4,,,,,N/A,N/A,N/A,,,,,,
87,WRB,2025,1,2025-04-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,96.8,,,,,N/A,N/A,N/A,,,,,,
88,ITW,2025,1,2025-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,120.2,,,,,N/A,N/A,N/A,,,,,,
89,AMGN,2020,1,2020-05-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,132.0,,,,,N/A,N/A,N/A,,,,,,
90,ALB,2024,1,2024-05-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1.5,,,,,N/A,N/A,N/A,,,,,,
91,TGT,2020,2,2020-08-19,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,104.6,,,,,N/A,N/A,N/A,,,,,,
92,BSX,2024,1,2024-04-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.2,,,,,N/A,N/A,N/A,,,,,,
93,PNW,2022,2,2022-08-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,144.4,,,,,N/A,N/A,N/A,,,,,,
94,CBRE,2020,2,2020-07-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,116.7,,,,,N/A,N/A,N/A,,,,,,
95,PSX,2021,1,2021-05-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,92.7,,,,,N/A,N/A,N/A,,,,,,
96,AEP,2022,2,2022-07-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,116.5,,,,,N/A,N/A,N/A,,,,,,
97,JBL,2023,4,2023-09-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,111.3,,,,,N/A,N/A,N/A,,,,,,
98,SWKS,2022,1,2022-02-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
99,COP,2020,1,2020-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,113.3,,,,,N/A,N/A,N/A,,,,,,
100,NXPI,2021,1,2021-04-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,103.4,,,,,N/A,N/A,N/A,,,,,,
101,PCAR,2024,3,2024-10-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,91.7,,,,,N/A,N/A,N/A,,,,,,
102,ADP,2021,4,2021-07-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,95.1,,,,,N/A,N/A,N/A,,,,,,
103,PSKY,2024,1,2024-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,74.2,,,,,N/A,N/A,N/A,,,,,,
104,GIS,2021,3,2021-03-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.0,,,,,N/A,N/A,N/A,,,,,,
105,CMI,2025,2,2025-08-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,91.8,,,,,N/A,N/A,N/A,,,,,,
106,LNT,2023,3,2023-11-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,741.4,,,,,N/A,N/A,N/A,,,,,,
107,JCI,2025,2,2025-05-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,79.3,,,,,N/A,N/A,N/A,,,,,,
108,LIN,2023,4,2024-02-06,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,103.3,,,,,N/A,N/A,N/A,,,,,,
109,SBAC,2020,4,2021-02-23,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,104.7,,,,,N/A,N/A,N/A,,,,,,
110,HLT,2020,3,2020-11-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,84.5,,,,,N/A,N/A,N/A,,,,,,
111,ROST,2023,3,2023-11-16,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.0,,,,,N/A,N/A,N/A,,,,,,
112,CMS,2020,3,2020-10-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,90.6,,,,,N/A,N/A,N/A,,,,,,
113,LHX,2024,2,2024-07-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,83.2,,,,,N/A,N/A,N/A,,,,,,
114,DG,2022,4,2023-03-16,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.4,,,,,N/A,N/A,N/A,,,,,,
115,TGT,2020,1,2020-05-20,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,94.3,,,,,N/A,N/A,N/A,,,,,,
116,CTSH,2021,1,2021-05-06,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,86.1,,,,,N/A,N/A,N/A,,,,,,
117,AON,2025,1,2025-04-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,93.7,,,,,N/A,N/A,N/A,,,,,,
118,CINF,2021,1,2021-04-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,93.4,,,,,N/A,N/A,N/A,,,,,,
119,ES,2020,2,2020-07-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.2,,,,,N/A,N/A,N/A,,,,,,
120,GPC,2022,2,2022-07-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,108.1,,,,,N/A,N/A,N/A,,,,,,
121,SPGI,2021,1,2021-03-23,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,99.0,,,,,N/A,N/A,N/A,,,,,,
122,KEY,2024,1,2024-04-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,95.7,,,,,N/A,N/A,N/A,,,,,,
123,MPC,2023,3,2023-10-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,124.3,,,,,N/A,N/A,N/A,,,,,,
124,T,2021,3,2021-10-21,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.1,,,,,N/A,N/A,N/A,,,,,,
125,GLW,2024,3,2024-10-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,94.6,,,,,N/A,N/A,N/A,,,,,,
126,CMCSA,2025,2,2025-07-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.7,,,,,N/A,N/A,N/A,,,,,,
127,POOL,2024,3,2024-10-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,84.0,,,,,N/A,N/A,N/A,,,,,,
128,GM,2023,4,2024-01-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,109.1,,,,,N/A,N/A,N/A,,,,,,
129,CHRW,2024,3,2024-10-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,96.3,,,,,N/A,N/A,N/A,,,,,,
130,BLK,2024,3,2024-10-11,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,90.2,,,,,N/A,N/A,N/A,,,,,,
131,GPN,2020,2,2020-08-10,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,111.5,,,,,N/A,N/A,N/A,,,,,,
132,INCY,2023,3,2023-10-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,83.9,,,,,N/A,N/A,N/A,,,,,,
133,BG,2021,1,2021-05-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,107.0,,,,,N/A,N/A,N/A,,,,,,
134,SO,2020,2,2020-07-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,92.9,,,,,N/A,N/A,N/A,,,,,,
135,VLO,2025,1,2025-04-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.3,,,,,N/A,N/A,N/A,,,,,,
136,ORCL,2025,1,2024-09-10,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,93.3,,,,,N/A,N/A,N/A,,,,,,
137,DOC,2021,3,2021-11-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,91.6,,,,,N/A,N/A,N/A,,,,,,
138,CNC,2024,3,2024-10-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,92.6,,,,,N/A,N/A,N/A,,,,,,
139,ULTA,2023,3,2023-12-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,716.6,,,,,N/A,N/A,N/A,,,,,,
140,STX,2024,1,2023-10-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,92.3,,,,,N/A,N/A,N/A,,,,,,
141,BLK,2021,2,2021-07-14,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,83.9,,,,,N/A,N/A,N/A,,,,,,
142,V,2020,3,2020-07-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,104.0,,,,,N/A,N/A,N/A,,,,,,
143,FFIV,2020,4,2020-10-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,109.5,,,,,N/A,N/A,N/A,,,,,,
144,KMB,2023,3,2023-10-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,93.8,,,,,N/A,N/A,N/A,,,,,,
145,KO,2021,2,2021-07-21,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,83.9,,,,,N/A,N/A,N/A,,,,,,
146,PWR,2021,2,2021-08-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
147,EFX,2022,4,2023-02-09,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,110.8,,,,,N/A,N/A,N/A,,,,,,
148,NFLX,2020,1,2020-04-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,94.3,,,,,N/A,N/A,N/A,,,,,,
149,JNJ,2025,2,2025-07-16,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,87.4,,,,,N/A,N/A,N/A,,,,,,
150,TGT,2023,3,2023-11-15,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,113.0,,,,,N/A,N/A,N/A,,,,,,
151,CPAY,2020,3,2020-11-06,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,92.0,,,,,N/A,N/A,N/A,,,,,,
152,CL,2023,2,2023-07-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
153,CINF,2021,3,2021-10-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,710.5,,,,,N/A,N/A,N/A,,,,,,
154,GPC,2023,3,2023-10-19,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
155,TECH,2020,3,2020-05-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,98.7,,,,,N/A,N/A,N/A,,,,,,
156,UNP,2022,1,2022-04-21,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.5,,,,,N/A,N/A,N/A,,,,,,
157,HBAN,2020,1,2020-04-23,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
158,HBAN,2020,3,2020-10-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
159,LLY,2023,2,2023-08-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
160,NCLH,2024,3,2024-10-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,97.7,,,,,N/A,N/A,N/A,,,,,,
161,BKNG,2024,4,2025-02-21,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.3,,,,,N/A,N/A,N/A,,,,,,
162,GNRC,2025,1,2025-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,116.2,,,,,N/A,N/A,N/A,,,,,,
163,MRK,2020,4,2021-02-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,129.3,,,,,N/A,N/A,N/A,,,,,,
164,CPAY,2021,2,2021-08-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,101.6,,,,,N/A,N/A,N/A,,,,,,
165,MRK,2022,1,2022-04-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,93.7,,,,,N/A,N/A,N/A,,,,,,
